Atividade,Mês
2. Experiências nacionais de desenvolvimento da indústria naval,M5
2.1. Dimensões de análise das experiências nacionais: protecionismo; evolução da indústria; estrutura empresarial; especialização; qualificação tecnológica; recursos humanos; cadeia de fornecedores; inserção internacional; evolução da produtividade; competitividade; resultados produtivos; estratégias de desenvolvimento tecnológico e catching-up,M2
2.2. Japão,M4
2.3. Coreia do Sul,M4
2.4. China,M4
2.5. Singapura,M4
2.6. Estados Unidos,M4
2.7. Países europeus selecionados,M4
2.8. Índia,M5
2.9. Vietnã,M5
2.10. Indonésia,M5
2.11. Outros produtores emergentes,M5
3. Construção naval e offshore no Brasil,M4
3.1. Antecedentes e formação da indústria naval moderna brasileira,M3
3.2. O ciclo das décadas de 1970 e 1980,M3
3.3. O ciclo das décadas de 2000 e 2010,M3
3.4. Evolução da construção de navios e embarcações,M3
"3.5. Evolução da construção de unidades offshore, fabricação de módulos, integração e comissionamento",M3
3.6. Evolução da construção naval militar,M3
"3.7. Evolução da estrutura industrial: empresas, capacidade produtiva, distribuição geográfica e cadeia de fornecedores",M4
3.8. Evolução da qualificação tecnológica e dos recursos humanos,M4
"3.9. Contratos, produção realizada, preços, prazos e desempenho",M4
"3.10. Fatores econômicos, empresariais, tecnológicos, regulatórios e institucionais associados aos ciclos de expansão e retração",M4
4. Estrutura atual e capacidade dos estaleiros brasileiros,M5
"4.1. Dimensões de análise dos estaleiros e instalações: evolução das instalações, organização corporativa, capacidade, produção e desempenho; estrutura e situação atuais; segmentos de atuação; carteiras de encomendas; engenharia de projeto e de processos; infraestrutura industrial; processos produtivos; organização e gestão; potencial de reativação, modernização e adaptação",M2
4.2. Estaleiros de construção de navios e embarcações,M5
4.3. Estaleiros de construção de embarcações fluviais,M5
"4.4. Estaleiros e instalações para construção de unidades offshore, fabricação e integração de módulos",M5
4.5. Estaleiros de construção naval militar,M5
"4.6. Cadeia produtiva, por tipo de produto e região",M5
4.7. Economias e deseconomias de localização e os polos navais,M5
"5. Reparo, conversão, desmantelamento e descomissionamento",M5
5.1. Reparo naval: características do mercado mundial e principais polos,M4
"5.2. Estaleiros de construção e de reparo: diferenças estruturais, tecnológicas e operacionais",M4
5.3. Regulamentação internacional do desmantelamento e reciclagem de navios: Convenção de Hong Kong e requisitos ambientais,M3
"5.4. Mercado mundial de desmantelamento e reciclagem de navios: estrutura, principais polos e tendências",M3
"5.5. Descomissionamento de unidades offshore: características, regulamentação e mercado mundial",M3
5.6. Regulamentação brasileira do desmantelamento e reciclagem de navios e plataformas,M4
"5.7. Demanda brasileira por reparo, docagem e retrofitting de embarcações",M4
"5.8. Demanda brasileira por reparo, conversão e descomissionamento de unidades offshore",M4
"5.9. Empresas, instalações e capacidade nacional para reparo, conversão, desmantelamento e descomissionamento",M4
5.10. Competição internacional e competitividade das atividades no Brasil,M5
"5.11. Desafios e oportunidades para reparo, retrofitting, desmantelamento e descomissionamento no Brasil",M5
6. Cadeia produtiva da indústria de construção naval,M6
"6.1. Estrutura da cadeia produtiva da construção naval: principais segmentos, produtos e relações entre estaleiros e fornecedores",M2
6.2. Perfil de nacionalização de componentes nos principais países produtores de navios,M4
"6.3. Indústrias de materiais, equipamentos e sistemas navais nos principais países produtores",M4
6.4. Evolução do conteúdo nacional e da cadeia de fornecedores nas diferentes fases da indústria naval brasileira,M5
6.5. Estrutura atual da cadeia de fornecedores da indústria naval brasileira,M5
"6.6. Cadeia de fornecedores por segmento: construção de navios, embarcações fluviais, offshore e construção naval militar",M5
6.7. Distribuição regional e capacidade dos fornecedores nacionais,M5
"6.8. Conteúdo nacional, dependências externas e lacunas produtivas e tecnológicas",M5
6.9. Relações entre estaleiros e fornecedores e formas de organização da cadeia de suprimentos,M5
6.10. Desafios e oportunidades para a estaleiros brasileiros,M6
7. Padrão tecnológico e recursos humanos,M5
7.1. Capacitação dos estaleiros brasileiros em engenharia de produto e de processo,M4
"7.2. Capacitação dos estaleiros brasileiros em planejamento, organização e gestão da produção",M4
7.3. Força de trabalho empregada nos estaleiros: perfil e qualificação,M4
"7.4. Capacidade de pesquisa, desenvolvimento e inovação em empresas, universidades e centros de pesquisa",M5
"7.5. Relações entre universidades, centros de pesquisa, empresas e a base produtiva da indústria naval",M5
"7.6. Disponibilidade de recursos humanos para a indústria naval nos níveis operacional, técnico, de engenharia e gerencial",M5
"7.7. Sistemas de formação e qualificação profissional nos níveis básico, técnico e superior",M5
8. Produtividade e competitividade,M5
8.1. Metodologia e indicadores para avaliação tecnológica, de produtividade e desempenho dos estaleiros,M2
"8.2. Padrões tecnológicos, produtividade e desempenho das principais classes de estaleiros mundiais",M4
"8.3. Padrões tecnológicos, produtividade e desempenho dos estaleiros brasileiros nos últimos períodos de operação contúba, na situação atual e potencial",M5
8.4. Benchmarking dos estaleiros brasileiros em relação às classes internacionais relevantes,M5
"8.5. Potencialidades, limitações e gargalos de produtividade e competitividade dos estaleiros brasileiros",M5
8.6. Possibilidades de inserção competitiva e metas de produtividade e desempenho por classe de estaleiro,M5
9. Descarbonização: oportunidades e desafios para a indústria naval,M6
"9.1. Impactos da descarbonização sobre o projeto, a construção e o retrofitting de navios",M5
9.2. Competências requeridas para projeto e construção de navios capazes ou preparados para novos combustíveis,M5
"9.3. Competências requeridas para desenvolvimento e aplicação de tecnologias de eficiência energética, captura de carbono e correlatas",M5
9.4. Requisitos tecnológicos e produtivos para retrofitting de navios,M5
9.5. Capacidades e deficiências dos estaleiros brasileiros para atendimento às novas demandas tecnológicas,M5
9.6. Capacidades e oportunidades para empresas brasileiras de engenharia e fornecedores de equipamentos e sistemas,M5
9.7. Descarbonização dos processos de construção naval,M5
9.8. Oportunidades de inserção competitiva da indústria naval brasileira nos mercados associados à descarbonização,M6
9.9. Principais desafios tecnológicos e produtivos,M6
1. Fundamentos e tendências,M5
1.1. Conceitos e fundamentos da política industrial,M3
1.2. Justificativas econômicas e estratégicas para políticas industriais,M3
1.3. Objetivos e instrumentos de política industrial: políticas horizontais e setoriais,M3
1.4. Transformações ambientais e geopolíticas em curso e tendências,M3
1.5. Evolução das políticas industriais praticadas no Brasil e tendências recentes,M3
1.6. Metodologia para análise da evolução das políticas setoriais voltadas para a indústria naval no Brasil e no mundo,M3
1.7. Relevância dos instrumentos horizontais para a indústria naval: Nova Indústria Brasil (NIB) e outras políticas,M4
1.8. Políticas públicas e mecanismos de fomento à descarbonização marítima e sua aplicabilidade ao Brasil,M5
2. Políticas de marinha mercante no mundo,M6
"2.1. Justificativas econômicas, estratégicas e geopolíticas para políticas de marinha mercante",M4
2.2. Evolução das políticas de marinha mercante desde o pós-guerra,M4
2.3. Regulamentação e organismos internacionais,M4
"2.4. Dimensões de análise das experiências nacionais: evolução das políticas; registros alternativos; financiamento; subsídios; incentivos fiscais; reserva de mercado e de carga; preferência de bandeira; políticas de tripulação; desenvolvimento tecnológico; resultados sobre frota, participação no mercado e competitividade; identificação dos casos mais expressivos de sucesso e falha",M4
2.5. Europa Ocidental,M4
2.6. Estados Unidos,M4
2.7. Japão,M4
2.8. Coreia do Sul,M4
2.9. China,M4
2.10. Singapura,M4
2.11. Austrália e Nova Zelândia,M4
2.12. Europa Oriental e Turquia,M4
2.13. Índia,M4
2.14. Outros casos relevantes,M5
3. Políticas de construção naval no mundo,M4
"3.1. Justificativas econômicas, estratégicas e geopolíticas para políticas de construção naval",M4
3.2. Inter-relação entre políticas de marinha mercante e de construção naval,M4
3.3. Evolução das políticas de construção naval e dos ciclos de industrialização e realocação da produção mundial,M4
3.4. Regulamentação e organismos internacionais,M4
3.5. Dimensões de análise das experiências nacionais: planejamento e políticas de desenvolvimento da indústria; proteção do mercado; participação e controle estatal; subsídios e incentivos fiscais; financiamento; garantias e créditos à exportação; compras governamentais; políticas de conteúdo local; desenvolvimento tecnológico e transferência de tecnologia; cooperação internacional; impacto das políticas governamentais na consolidação da indústria; identificação dos casos mais expressivos de sucesso e falha,M4
3.6. Japão,M4
3.7. Coreia do Sul,M4
3.8. China,M4
3.9. Singapura,M4
3.10. Estados Unidos,M4
3.11. Europa Ocidental,M4
3.12. Índia,M4
3.13. Vietnã,M4
3.14. Indonésia,M4
3.15. Turquia e Europa Oriental,M4
3.16. Outros casos relevantes,M4
4. Políticas brasileiras de marinha mercante e construção naval,M5
"4.1. Políticas marítimas no Brasil: marinha mercante, construção naval, navegação interior, óleo e gás offshore, energias oceânicas e defesa",M3
4.2. Evolução das políticas brasileiras de marinha mercante,M3
4.3. Evolução das políticas brasileiras de construção naval,M3
4.4. Os Planos de Desenvolvimento e os Planos de Construção Naval: ciclos de 1970–1980 e 2000–2010,M3
"4.5. Instrumentos de proteção e incentivo à marinha mercante: reserva de mercado e de carga, preferência de bandeira, afretamento, tripulação e incentivos fiscais",M4
"4.6. Instrumentos de apoio à construção naval: barreiras tributárias e restrições ao afretamento, incentivos fiscais, conteúdo local e compras governamentais",M4
4.7. Financiamento e outros instrumentos financeiros,M4
"4.8. Políticas de pesquisa, desenvolvimento, inovação e formação de recursos humanos",M4
4.9. Clusters navais e políticas de desenvolvimento regional,M4
"4.10. Políticas para os setores de óleo e gás, defesa e energia e seus impactos sobre a indústria naval",M4
4.11. Resultados das políticas brasileiras de marinha mercante e construção naval,M5
4.12. Mudanças recentes e principais questões em debate no Brasil,M5
5. O Fundo da Marinha Mercante,M5
5.1. Descrição geral do sistema,M1
5.2. Histórico e relevância do FMM para a indústria marítima brasileira,M2
5.3. Evolução da regulamentação do AFRMM e do FMM,M2
"5.4. Arrecadação, distribuição e aplicação do AFRMM",M2
"5.5. Eficiência do sistema: projetos financiados, obras concluídas e prazos",M3
5.6. Eficácia do sistema: consolidação das empresas e evolução da competitividade,M3
5.7. Efeitos do financiamento e da utilização das contas vinculadas sobre o custo efetivo de capital: análise e simulações,M5
5.8. Alocação de custos e benefícios: efeitos distributivos intersetoriais e inter-regionais,M5
5.9. Justificativa econômica e estratégica do modelo atual por segmento da navegação,M5
6. Setores críticos da cadeia de suprimentos: siderurgia e materiais e equipamentos navais,M5
6.1. Políticas industriais e perfil de nacionalização da cadeia de suprimentos da indústria naval nos principais países produtores,M4
6.2. Importância da siderurgia e da indústria de materiais e equipamentos navais para a construção naval,M4
6.3. Evolução das indústrias siderúrgica e de materiais e equipamentos navais no Brasil,M5
"6.4. Estrutura atual da oferta de produtos siderúrgicos para a indústria naval brasileira: empresas, capacidade, tecnologia e dependência de importações",M5
"6.5. Estrutura atual da indústria brasileira de materiais e equipamentos navais: setores, empresas, capacidade, tecnologia e dependência de importações",M5
6.6. Políticas industriais e de conteúdo local e evolução dos índices de nacionalização no Brasil,M5
"6.7. Cenários prospectivos, oportunidades e desafios para o desenvolvimento da siderurgia e da indústria de materiais e equipamentos navais",M5
6.8. Importância do desenvolvimento da cadeia nacional de suprimentos para a competitividade da indústria naval brasileira,M5
7. Ciclos de expansão e queda da indústria naval brasileira: diagnóstico de sucessos e falhas,M6
"7.1. O ciclo das décadas de 1970 e 1980 no Brasil: objetivos, instrumentos e resultados",M3
7.2. Fatores endógenos e exógenos da crise e retração nas décadas de 1980 e 1990,M3
7.3. Brasil e Coreia do Sul: análise comparada das trajetórias da indústria naval,M3
"7.4. O ciclo das décadas de 2000 e 2010 no Brasil: objetivos, instrumentos e resultados",M4
7.5. Fatores determinantes da retração da indústria naval brasileira após o ciclo de expansão dos anos 2000,M4
7.6. Brasil e China: análise comparada das trajetórias da indústria naval a partir dos anos 2000,M4
"7.7. Análise comparativa dos ciclos brasileiros: continuidade e coordenação institucional, demanda, financiamento, escala de produção, produtividade, aprendizado tecnológico e inserção internacional",M5
7.8. Problemas sistêmicos e lições para uma nova política de desenvolvimento da indústria naval brasileira,M5
8. Fatores geopolíticos e ambientais críticos para a reestruturação da indústria naval brasileira,M6
"8.1. Transformações geopolíticas e seus impactos sobre o comércio, o transporte marítimo e a indústria naval",M6
8.2. Segurança econômica e reorganização das cadeias globais de produção e suprimento,M6
8.3. Descarbonização e novas exigências ambientais: impactos sobre a demanda e a estrutura da indústria naval,M6
"8.4. Reconfiguração da indústria naval mundial: relocalização de capacidades produtivas, políticas de reindustrialização e novos países produtores",M6
8.5. Segurança e defesa e seus impactos sobre a indústria naval,M6
8.6. Riscos e oportunidades decorrentes das transformações geopolíticas e ambientais para a indústria naval brasileira,M6
9. Ambiente econômico e institucional da indústria marítima brasileira,M6
"9.1. Condições econômicas para o desenvolvimento da indústria marítima brasileira: demanda, ambiente macroeconômico, custo de capital, restrições fiscais, taxa de câmbio e ambiente de investimento",M6
9.2. Organização institucional dos órgãos do Estado com atribuições sobre a indústria marítima,M6
9.3. Coordenação entre órgãos e políticas e continuidade da orientação programática,M6
"9.4. Capacitação técnica, autonomia decisória e continuidade institucional dos órgãos e agências",M6
"9.5. Riscos políticos, econômicos, institucionais e regulatórios para a reestruturação da indústria naval",M6
1. Diagnóstico integrado da indústria naval brasileira,M6
"1.1. Relações entre volume e estabilidade da demanda, capacidade dos estaleiros, produtividade, custos, prazos, qualidade e condições de financiamento",M6
1.2. Compatibilidade entre a demanda potencial e a capacidade de atendimento da indústria naval brasileira nos diferentes segmentos,M6
"1.3. Potencialidades, limitações e gargalos da indústria naval brasileira",M6
"1.4. Potencialidades, limitações e gargalos dos segmentos de reparo, conversão e descomissionamento",M6
"1.5. Impactos da descarbonização e das transformações tecnológicas e geopolíticas sobre a demanda, requisitos tecnológicos e oportunidades para a indústria naval brasileira",M6
1.6. Fatores críticos e incertezas para a construção dos cenários para a indústria naval brasileira,M6
2. Cenários para a indústria naval brasileira,M6
"2.1. Premissas, hipóteses, horizontes temporais e principais incertezas",M6
"2.2. Consolidação das projeções de demanda para transporte marítimo, navegação interior, óleo e gás offshore, energias oceânicas, defesa, reparo e descomissionamento",M6
2.3. Cenários alternativos de volume e composição da demanda por segmento,M6
2.4. Capacidade da indústria naval brasileira para atendimento da demanda nos diferentes cenários,M6
2.5. Simulação das condições necessárias para que a demanda seja atendida pela indústria nacional,M6
2.6. Possibilidades e desafios para a inserção competitiva no mercado internacional,M6
"2.7. Requisitos de infraestrutura, tecnologia e recursos humanos para os diferentes cenários",M6
3. Conclusões do Relatório 1,M6
3.1. Principais conclusões do diagnóstico integrado e dos cenários,M6
"3.2. Incertezas, hipóteses e lacunas de informação que condicionam as conclusões",M6
3.3. Questões para a identificação dos segmentos estratégicos e a formulação das políticas,M6
